# generation best_length mean_best_half
602 69.2530808732 73.1802628357
603 68.6950509312 73.7618774169
604 68.6950509312 72.7432961738
605 68.6950509312 72.4038961527
606 68.6950509312 72.6097513465
607 68.6950509312 72.9216368264
608 68.6950509312 72.0026559491
609 68.6950509312 72.1607465817
610 68.6950509312 72.0735131997
611 68.6950509312 71.7229359162
612 68.6950509312 71.6413752412
613 68.6950509312 72.0981376051
614 68.6950509312 71.8202707391
615 68.6950509312 71.8862877951
616 68.6950509312 71.6246704368
617 68.6950509312 71.4211221915
618 68.6950509312 71.3208347766
619 68.6950509312 71.3828224995
620 68.6950509312 71.5104740912
621 68.6950509312 71.0082490338
622 68.6950509312 71.4206239911
623 68.6950509312 71.4502530280
624 68.6950509312 71.0899373063
625 68.6950509312 71.8654971094
626 68.6950509312 71.4807542856
627 68.6950509312 71.2016960707
628 68.6950509312 71.1012738776
629 68.6950509312 71.3976780866
630 68.6950509312 71.6318203449
631 68.6950509312 71.6689693775
632 68.6950509312 71.7281039172
633 68.6950509312 71.8989248305
634 68.6950509312 71.8631425206
635 68.6950509312 71.9375888677
636 68.6950509312 71.6936448172
637 68.6950509312 71.7149729422
638 68.6950509312 72.0412060492
639 68.6950509312 71.7179614361
640 68.6950509312 71.7861909781
641 68.6950509312 71.9334610576
642 68.6950509312 71.8338352089
643 68.6950509312 72.1128989565
644 68.6950509312 71.9219591661
645 68.6950509312 71.5836790861
646 68.6950509312 71.3922508629
647 68.6950509312 71.4995401421
648 68.6950509312 71.4111421185
649 68.6950509312 71.3035250230
650 68.6950509312 71.4608067851
651 68.6950509312 71.4521585859
652 68.6950509312 72.2536828859
653 68.6950509312 72.2276350255
654 68.6950509312 72.4773947325
655 68.6950509312 72.0878778713
656 68.6950509312 71.8636105559
657 68.6950509312 71.9643535119
658 68.6950509312 71.8400938682
659 68.6950509312 72.1265618632
660 68.6950509312 71.8412911490
661 68.6950509312 71.9645431812
662 68.6950509312 71.9574493383
663 68.6950509312 72.2567221391
664 68.6950509312 72.2059949709
665 68.6950509312 72.0241207298
666 68.6950509312 71.6708011010
667 68.6950509312 72.0740799149
668 68.6950509312 71.6214146343
669 68.6950509312 71.5778826683
670 68.6950509312 71.7688700306
671 68.6950509312 71.6852829432
672 68.6950509312 71.9340545414
673 68.6950509312 71.5466373276
674 68.6950509312 72.0163007477
675 68.6950509312 71.8687403732
676 68.6950509312 72.7640463834
677 68.6950509312 71.1750304732
678 68.6950509312 71.6992552028
679 68.6950509312 71.9573081726
680 68.6950509312 71.8342866251
681 68.6950509312 71.8756471994
682 68.6950509312 72.0004733576
683 68.6950509312 71.6342248788
684 68.6950509312 71.6824175377
