# step r x y z
550 4.70656 -0.0460568 0.956669 -4.60807
551 3.69441 1.95234 2.60421 -1.7479
552 3.69441 1.95234 2.60421 -1.7479
553 3.69441 1.95234 2.60421 -1.7479
554 3.88223 2.09865 1.28122 -3.0043
555 1.58095 -0.190244 -0.491954 -1.49037
556 1.58095 -0.190244 -0.491954 -1.49037
557 1.58095 -0.190244 -0.491954 -1.49037
558 1.58095 -0.190244 -0.491954 -1.49037
559 1.58095 -0.190244 -0.491954 -1.49037
560 3.61672 1.02546 -1.51856 -3.11818
561 3.61672 1.02546 -1.51856 -3.11818
562 3.61672 1.02546 -1.51856 -3.11818
563 3.79842 -0.512863 0.908664 -3.6523
564 3.79842 -0.512863 0.908664 -3.6523
565 3.79842 -0.512863 0.908664 -3.6523
566 3.79842 -0.512863 0.908664 -3.6523
567 3.41981 -0.261168 1.95738 -2.79206
568 3.41981 -0.261168 1.95738 -2.79206
569 3.41981 -0.261168 1.95738 -2.79206
570 3.41981 -0.261168 1.95738 -2.79206
571 3.41981 -0.261168 1.95738 -2.79206
572 2.59328 2.28854 0.926608 -0.793138
573 2.51315 0.589635 2.36649 -0.606621
574 3.49291 -1.82597 2.65279 -1.35239
575 2.44363 -2.27398 0.0119908 0.894559
576 2.44363 -2.27398 0.0119908 0.894559
577 2.44363 -2.27398 0.0119908 0.894559
578 2.44363 -2.27398 0.0119908 0.894559
579 4.97608 -4.12583 2.22397 -1.67121
580 4.97608 -4.12583 2.22397 -1.67121
581 4.97608 -4.12583 2.22397 -1.67121
582 4.59282 -1.43342 3.43636 -2.689
583 4.59282 -1.43342 3.43636 -2.689
584 4.59282 -1.43342 3.43636 -2.689
585 4.59282 -1.43342 3.43636 -2.689
586 4.59282 -1.43342 3.43636 -2.689
587 4.59282 -1.43342 3.43636 -2.689
588 6.00011 -3.47746 0.709911 -4.83783
589 6.00011 -3.47746 0.709911 -4.83783
590 6.00011 -3.47746 0.709911 -4.83783
591 6.00011 -3.47746 0.709911 -4.83783
592 3.1746 -1.22164 -1.80276 -2.30993
593 3.62327 -1.88349 1.13882 -2.87813
594 3.62327 -1.88349 1.13882 -2.87813
595 3.62327 -1.88349 1.13882 -2.87813
596 3.62327 -1.88349 1.13882 -2.87813
597 6.0277 -4.16569 -1.52611 -4.0806
598 5.69959 -1.41956 -4.46155 -3.25033
599 3.86441 -1.97092 -1.63716 -2.89289
600 4.77612 -0.83297 -2.47884 -3.9966
601 4.20529 -3.17579 0.401684 -2.72716
602 4.40472 -3.04911 -1.40969 -2.84909
603 4.40472 -3.04911 -1.40969 -2.84909
604 5.70674 -1.07487 -3.68091 -4.2264
605 4.53378 1.48636 -0.90587 -4.18632
606 5.95507 1.46796 1.4481 -5.58667
607 5.95507 1.46796 1.4481 -5.58667
608 5.95507 1.46796 1.4481 -5.58667
609 6.62106 3.88734 -1.08018 -5.24978
610 8.00711 6.3497 1.15708 -4.73881
611 8.00711 6.3497 1.15708 -4.73881
612 8.00711 6.3497 1.15708 -4.73881
613 6.32488 4.10333 -1.6523 -4.5207
614 6.32488 4.10333 -1.6523 -4.5207
615 6.32488 4.10333 -1.6523 -4.5207
616 6.57502 2.73711 -4.65112 -3.75582
617 6.57502 2.73711 -4.65112 -3.75582
618 6.57502 2.73711 -4.65112 -3.75582
619 5.67429 0.154567 -4.68962 -3.1908
620 5.67429 0.154567 -4.68962 -3.1908
621 4.01122 -1.9696 -3.15805 -1.49574
622 4.18024 -1.05605 -3.91006 -1.03472
623 5.86512 0.317199 -5.56228 1.83304
624 5.36175 -0.300653 -4.83388 2.30035
625 2.65576 -1.78774 -1.88243 0.559905
626 3.25195 -2.49632 -0.39365 2.0466
627 5.46226 -0.837188 -3.14903 4.38395
