#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           7      1.6031     0.67538     0.67288  0.00401538
           7     1.62875    0.672555    0.686698  0.00540413
           7      1.6544    0.690055    0.705278  0.00499244
           7     1.68005    0.719386    0.724352   0.0026011
           7      1.7057    0.726986    0.751701  0.00679318
           7     1.73135    0.766022     0.77431  0.00278471
           7       1.757    0.815365    0.812445  0.00384237
           7     1.78265    0.851943    0.846187  0.00420884
           7      1.8083    0.883283     0.88722  0.00240601
           7     1.83395    0.932738    0.932244  0.00274227
           7      1.8596    0.970547    0.975045  0.00472808
           7     1.88525      1.0278     1.02293   0.0037502
           7      1.9109     1.05085     1.06653  0.00691302
           7     1.93655     1.08489     1.09715  0.00289436
           7      1.9622     1.16033     1.13784   0.0049623
