#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         471    -5.37518    -5.61339   0.0179588
         472     -5.3744    -5.61288   0.0179279
         473    -5.37378    -5.61238   0.0178971
         474    -5.37349    -5.61187   0.0178665
         475    -5.37292    -5.61137    0.017836
         476    -5.37299    -5.61087   0.0178055
         477    -5.37338    -5.61037   0.0177751
         478     -5.3741    -5.60988   0.0177448
         479    -5.37437    -5.60939   0.0177146
         480    -5.37541     -5.6089   0.0176844
         481    -5.37657    -5.60842   0.0176542
         482    -5.37785    -5.60794   0.0176241
         483    -5.37877    -5.60746    0.017594
         484     -5.3802    -5.60699   0.0175639
         485    -5.38137    -5.60653   0.0175338
         486    -5.38284    -5.60607   0.0175038
         487    -5.38414    -5.60561   0.0174738
         488    -5.38509    -5.60516   0.0174438
         489     -5.3858    -5.60471   0.0174139
         490    -5.38715    -5.60427    0.017384
         491    -5.38807    -5.60383   0.0173542
         492    -5.38913    -5.60339   0.0173244
         493    -5.38986    -5.60296   0.0172947
         494    -5.39024    -5.60253    0.017265
         495    -5.39025     -5.6021   0.0172355
         496    -5.39034    -5.60167    0.017206
         497    -5.39094    -5.60125   0.0171766
         498    -5.39053    -5.60082   0.0171473
         499    -5.38972     -5.6004   0.0171182
         500    -5.38866    -5.59998   0.0170892
         501    -5.38717    -5.59955   0.0170604
         502    -5.38543    -5.59913   0.0170317
         503    -5.38387     -5.5987   0.0170032
         504    -5.38191    -5.59827   0.0169749
         505    -5.37984    -5.59784   0.0169468
         506    -5.37754     -5.5974   0.0169189
         507     -5.3747    -5.59696   0.0168913
         508    -5.37163    -5.59652   0.0168638
         509    -5.36837    -5.59607   0.0168367
         510    -5.36477    -5.59562   0.0168097
         511    -5.36145    -5.59516   0.0167831
         512     -5.3577    -5.59469   0.0167567
         513    -5.35351    -5.59422   0.0167307
         514    -5.34969    -5.59375   0.0167049
         515    -5.34564    -5.59327   0.0166794
         516    -5.34186    -5.59278   0.0166542
         517    -5.33731    -5.59228   0.0166293
         518    -5.33337    -5.59178   0.0166047
         519    -5.32916    -5.59128   0.0165804
         520    -5.32561    -5.59077   0.0165564
         521    -5.32182    -5.59025   0.0165327
         522    -5.31858    -5.58973   0.0165092
         523    -5.31513    -5.58921    0.016486
         524    -5.31134    -5.58868    0.016463
         525    -5.30736    -5.58814   0.0164404
         526    -5.30381     -5.5876    0.016418
         527    -5.30007    -5.58705   0.0163959
         528    -5.29689     -5.5865   0.0163741
         529    -5.29413    -5.58595   0.0163524
         530    -5.29087    -5.58539   0.0163311
         531    -5.28786    -5.58483   0.0163099
         532    -5.28526    -5.58427    0.016289
         533    -5.28185     -5.5837   0.0162683
         534    -5.27928    -5.58313   0.0162478
         535    -5.27667    -5.58256   0.0162275
         536    -5.27446    -5.58199   0.0162074
         537    -5.27236    -5.58141   0.0161875
         538    -5.27037    -5.58083   0.0161677
         539    -5.26821    -5.58025   0.0161482
         540    -5.26634    -5.57967   0.0161287
         541    -5.26524    -5.57909   0.0161094
         542    -5.26355    -5.57851   0.0160902
         543     -5.2622    -5.57792   0.0160711
         544    -5.26105    -5.57734   0.0160521
         545    -5.25998    -5.57676   0.0160332
         546    -5.25915    -5.57618   0.0160144
         547    -5.25873     -5.5756   0.0159956
         548    -5.25889    -5.57502   0.0159769
         549    -5.25887    -5.57444   0.0159581
         550    -5.25945    -5.57387   0.0159394
         551    -5.26017     -5.5733   0.0159206
         552    -5.26104    -5.57274   0.0159018
         553    -5.26207    -5.57217    0.015883
         554    -5.26416    -5.57162    0.015864
         555     -5.2667    -5.57107    0.015845
         556    -5.26894    -5.57053   0.0158258
         557    -5.27146    -5.56999   0.0158065
         558    -5.27426    -5.56946    0.015787
         559    -5.27733    -5.56894   0.0157674
         560    -5.28006    -5.56842   0.0157477
         561    -5.28379    -5.56791   0.0157278
         562    -5.28699    -5.56741   0.0157078
         563    -5.29085    -5.56692   0.0156876
         564    -5.29537    -5.56644   0.0156671
         565    -5.29977    -5.56597   0.0156465
         566    -5.30403    -5.56551   0.0156257
         567    -5.30874    -5.56505   0.0156047
         568    -5.31373    -5.56461   0.0155835
         569    -5.31914    -5.56418   0.0155621
         570    -5.32435    -5.56376   0.0155405
