#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         591     -3.8036    -3.79658 0.000365675
         592    -3.80376    -3.79659 0.000365258
         593    -3.80377     -3.7966 0.000364843
         594    -3.80376    -3.79662 0.000364427
         595    -3.80343    -3.79663 0.000363995
         596    -3.80355    -3.79664 0.000363569
         597    -3.80364    -3.79665 0.000363149
         598    -3.80372    -3.79666 0.000362734
         599    -3.80333    -3.79667   0.0003623
         600    -3.80337    -3.79669 0.000361867
         601    -3.80353     -3.7967 0.000361444
         602    -3.80353    -3.79671 0.000361022
         603    -3.80335    -3.79672 0.000360591
         604    -3.80346    -3.79673 0.000360167
         605     -3.8034    -3.79674 0.000359741
         606    -3.80272    -3.79675 0.000359282
         607    -3.80263    -3.79676 0.000358821
         608    -3.80222    -3.79677 0.000358343
         609    -3.80166    -3.79678 0.000357844
         610    -3.80139    -3.79679 0.000357338
         611    -3.80127    -3.79679 0.000356828
         612    -3.80099     -3.7968 0.000356311
         613    -3.80027    -3.79681 0.000355774
         614    -3.79955    -3.79681 0.000355223
         615    -3.79959    -3.79681 0.000354674
         616     -3.7995    -3.79682 0.000354125
         617    -3.79851    -3.79682 0.000353562
         618    -3.79859    -3.79682 0.000353001
         619    -3.79869    -3.79683 0.000352444
         620    -3.79835    -3.79683 0.000351884
         621    -3.79818    -3.79683 0.000351324
         622    -3.79848    -3.79683 0.000350769
         623     -3.7985    -3.79684 0.000350216
         624    -3.79869    -3.79684 0.000349668
         625    -3.79905    -3.79684 0.000349126
         626    -3.79882    -3.79685 0.000348583
         627     -3.7986    -3.79685 0.000348038
         628     -3.7984    -3.79685 0.000347493
         629    -3.79806    -3.79685 0.000346945
         630    -3.79788    -3.79686 0.000346399
         631    -3.79801    -3.79686 0.000345854
         632      -3.798    -3.79686 0.000345312
         633    -3.79814    -3.79686 0.000344772
         634    -3.79873    -3.79686 0.000344241
         635    -3.79918    -3.79687 0.000343718
         636    -3.79901    -3.79687 0.000343194
         637    -3.79915    -3.79688 0.000342674
         638    -3.79837    -3.79688 0.000342145
         639     -3.7982    -3.79688 0.000341616
         640    -3.79818    -3.79688 0.000341088
         641     -3.7983    -3.79688 0.000340563
         642    -3.79858    -3.79689 0.000340043
         643    -3.79855    -3.79689 0.000339524
         644    -3.79821    -3.79689 0.000339003
         645    -3.79803    -3.79689 0.000338482
         646    -3.79801    -3.79689 0.000337962
         647    -3.79813     -3.7969 0.000337445
         648    -3.79797     -3.7969 0.000336929
         649    -3.79796     -3.7969 0.000336414
         650    -3.79856     -3.7969 0.000335906
         651    -3.79827     -3.7969 0.000335396
         652    -3.79799    -3.79691 0.000334886
         653    -3.79847    -3.79691 0.000334382
         654    -3.79851    -3.79691 0.000333879
         655    -3.79825    -3.79691 0.000333376
         656    -3.79831    -3.79692 0.000332874
         657    -3.79807    -3.79692 0.000332372
