#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         587     1.68394      1.8054   0.0154123
         588     1.68929      1.8052   0.0153873
         589     1.69461     1.80502   0.0153624
         590     1.69988     1.80484   0.0153374
         591     1.70509     1.80467   0.0153123
         592     1.71025     1.80451   0.0152873
         593     1.71534     1.80436   0.0152623
         594     1.72034     1.80422   0.0152372
         595     1.72525     1.80408   0.0152122
         596     1.73005     1.80396   0.0151872
         597     1.73472     1.80384   0.0151622
         598     1.73924     1.80374   0.0151372
         599     1.74361     1.80364   0.0151123
         600     1.74781     1.80354   0.0150874
         601     1.75183     1.80346   0.0150625
         602     1.75565     1.80338   0.0150377
         603     1.75927      1.8033   0.0150129
         604     1.76268     1.80324   0.0149882
         605     1.76587     1.80318   0.0149636
         606     1.76884     1.80312    0.014939
         607      1.7716     1.80307   0.0149145
         608     1.77414     1.80302     0.01489
         609     1.77647     1.80298   0.0148656
         610     1.77859     1.80294   0.0148413
         611     1.78053      1.8029   0.0148171
         612     1.78229     1.80287   0.0147929
         613     1.78388     1.80283   0.0147688
         614     1.78533     1.80281   0.0147448
         615     1.78664     1.80278   0.0147208
         616     1.78784     1.80276    0.014697
         617     1.78893     1.80273   0.0146732
         618     1.78994     1.80271   0.0146494
         619     1.79089     1.80269   0.0146258
         620     1.79178     1.80268   0.0146022
         621     1.79262     1.80266   0.0145787
         622     1.79343     1.80264   0.0145553
         623     1.79421     1.80263   0.0145319
         624     1.79496     1.80262   0.0145086
         625     1.79569     1.80261   0.0144854
         626      1.7964      1.8026   0.0144623
         627     1.79708     1.80259   0.0144392
         628     1.79773     1.80258   0.0144162
         629     1.79835     1.80257   0.0143933
         630     1.79893     1.80257   0.0143705
         631     1.79945     1.80256   0.0143477
         632     1.79992     1.80256    0.014325
         633     1.80032     1.80256   0.0143023
         634     1.80063     1.80255   0.0142798
         635     1.80086     1.80255   0.0142573
         636       1.801     1.80255   0.0142349
         637     1.80103     1.80255   0.0142125
         638     1.80096     1.80254   0.0141903
         639     1.80077     1.80254   0.0141681
         640     1.80048     1.80254   0.0141459
         641     1.80008     1.80253   0.0141239
         642     1.79957     1.80253   0.0141019
         643     1.79896     1.80252   0.0140799
         644     1.79825     1.80252   0.0140581
         645     1.79745     1.80251   0.0140363
         646     1.79658      1.8025   0.0140145
         647     1.79565     1.80249   0.0139929
         648     1.79466     1.80248   0.0139713
         649     1.79364     1.80246   0.0139498
         650      1.7926     1.80245   0.0139283
         651     1.79155     1.80243   0.0139069
         652      1.7905     1.80241   0.0138856
         653     1.78947     1.80239   0.0138644
         654     1.78846     1.80237   0.0138432
         655     1.78748     1.80235   0.0138221
         656     1.78654     1.80232    0.013801
         657     1.78564      1.8023     0.01378
         658     1.78478     1.80227   0.0137591
         659     1.78396     1.80224   0.0137383
         660     1.78318     1.80222   0.0137175
         661     1.78243     1.80219   0.0136968
         662      1.7817     1.80216   0.0136761
         663     1.78099     1.80212   0.0136555
         664     1.78029     1.80209    0.013635
         665      1.7796     1.80206   0.0136145
         666      1.7789     1.80202   0.0135941
         667     1.77819     1.80199   0.0135738
         668     1.77747     1.80195   0.0135535
         669     1.77673     1.80191   0.0135333
         670     1.77597     1.80187   0.0135132
         671     1.77519     1.80183   0.0134931
         672      1.7744     1.80179   0.0134731
         673      1.7736     1.80175   0.0134531
         674     1.77279     1.80171   0.0134332
         675       1.772     1.80166   0.0134134
         676     1.77123     1.80162   0.0133936
         677     1.77049     1.80157   0.0133739
         678      1.7698     1.80153   0.0133543
         679     1.76918     1.80148   0.0133347
         680     1.76865     1.80143   0.0133152
         681     1.76822     1.80138   0.0132957
         682      1.7679     1.80133   0.0132763
         683     1.76772     1.80128    0.013257
         684      1.7677     1.80123   0.0132377
         685     1.76784     1.80118   0.0132184
         686     1.76817     1.80114   0.0131993
         687     1.76869     1.80109   0.0131801
         688     1.76941     1.80104   0.0131611
         689     1.77034       1.801    0.013142
         690     1.77149     1.80096   0.0131231
         691     1.77286     1.80092   0.0131041
         692     1.77444     1.80088   0.0130852
         693     1.77623     1.80084   0.0130664
         694     1.77824     1.80081   0.0130476
         695     1.78044     1.80078   0.0130289
         696     1.78283     1.80075   0.0130102
         697     1.78538     1.80073   0.0129915
         698     1.78808     1.80071   0.0129729
         699      1.7909      1.8007   0.0129544
         700     1.79384     1.80069   0.0129359
         701     1.79685     1.80068   0.0129174
         702     1.79992     1.80068    0.012899
         703     1.80302     1.80069   0.0128807
         704     1.80613     1.80069   0.0128624
         705      1.8092     1.80071   0.0128442
         706     1.81223     1.80072    0.012826
         707     1.81517     1.80074   0.0128078
         708       1.818     1.80077   0.0127898
         709     1.82069      1.8008   0.0127718
         710     1.82323     1.80083   0.0127538
         711     1.82558     1.80086   0.0127359
         712     1.82772      1.8009   0.0127181
         713     1.82963     1.80094   0.0127003
         714      1.8313     1.80098   0.0126826
         715     1.83271     1.80103    0.012665
         716     1.83384     1.80107   0.0126473
         717     1.83468     1.80112   0.0126298
         718     1.83523     1.80117   0.0126123
         719     1.83548     1.80121   0.0125948
         720     1.83542     1.80126   0.0125774
         721     1.83506     1.80131   0.0125601
         722      1.8344     1.80136   0.0125428
         723     1.83345      1.8014   0.0125255
         724     1.83221     1.80144   0.0125083
         725      1.8307     1.80148   0.0124911
         726     1.82892     1.80152   0.0124739
         727      1.8269     1.80156   0.0124568
         728     1.82465     1.80159   0.0124398
         729     1.82219     1.80162   0.0124227
         730     1.81954     1.80164   0.0124057
