# VELOCITY:     AVE_POFV:        ERROR:
       5.925           0           0

       0.075  0.00213871  0.00109972
       0.225   0.0213798  0.00462631
       0.375    0.054793  0.00792603
       0.525    0.107484   0.0117488
       0.675    0.165123   0.0131379
       0.825    0.227298   0.0196218
       0.975     0.29281   0.0252415
       1.125    0.381122   0.0262433
       1.275    0.459052   0.0284463
       1.425    0.508834   0.0277256
       1.575    0.508079   0.0305414
       1.725    0.518359   0.0221366
       1.875    0.428962   0.0201997
       2.025    0.413126   0.0226204
       2.175    0.348983   0.0153717
       2.325     0.34057   0.0136018
       2.475    0.345639   0.0427327
       2.625    0.325087   0.0351537
       2.775    0.287378   0.0225146
       2.925    0.217262   0.0194313
       3.075    0.204027   0.0153696
       3.225    0.110802   0.0131447
       3.375    0.123725   0.0156055
       3.525   0.0877088   0.0126168
       3.675   0.0723384  0.00754733
       3.825   0.0491757  0.00650464
       3.975   0.0265432  0.00516675
       4.125    0.020236  0.00618386
       4.275  0.00896151  0.00312394
       4.425  0.00476035  0.00224411
       4.575  0.00218228  0.00142463
       4.725  0.00135802  0.00100207
       4.875 0.000769789 0.000586622
       5.025  0.00033406 0.000223367
       5.175 0.000261438 0.000201748
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00201989  0.00104502
       0.225    0.020607  0.00443337
       0.375   0.0554767  0.00751512
       0.525    0.109009   0.0111946
       0.675     0.16915   0.0130103
       0.825    0.225453   0.0186183
       0.975    0.298114     0.02439
       1.125    0.378052   0.0249643
       1.275    0.463416   0.0271986
       1.425    0.510943   0.0262653
       1.575    0.509554   0.0288803
       1.725    0.521365   0.0211099
       1.875    0.437675   0.0208724
       2.025    0.411735   0.0214064
       2.175    0.343916   0.0153301
       2.325    0.338759   0.0129662
       2.475    0.347318   0.0403916
       2.625    0.322541   0.0332928
       2.775    0.285614   0.0213328
       2.925     0.21287   0.0188416
       3.075    0.201965   0.0146533
       3.225    0.109976   0.0124404
       3.375    0.121375   0.0149144
       3.525   0.0853772   0.0121294
       3.675   0.0708642  0.00727059
       3.825    0.048882   0.0061499
       3.975   0.0259465  0.00491404
       4.125    0.019441  0.00589119
       4.275  0.00852881   0.0029802
       4.425  0.00542867  0.00221672
       4.575  0.00272291  0.00144443
       4.725  0.00128258 0.000949239
       4.875 0.000727023 0.000555588
       5.025 0.000315501 0.000211727
       5.175 0.000246914 0.000191062
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00191358 0.000995415
       0.225   0.0195224  0.00433067
       0.375   0.0546784  0.00716187
       0.525    0.110884   0.0107613
       0.675    0.170773   0.0124264
       0.825    0.219373   0.0186046
       0.975    0.302063   0.0234238
       1.125    0.382518   0.0240465
       1.275    0.469532   0.0264459
       1.425    0.520328   0.0265067
       1.575    0.505832   0.0275991
       1.725    0.516296   0.0205984
       1.875    0.444009   0.0207127
       2.025    0.411774   0.0202798
       2.175    0.348782   0.0152758
       2.325    0.336381   0.0124999
       2.475    0.341241   0.0387202
       2.625     0.31819   0.0318235
       2.775    0.283034   0.0203654
       2.925     0.21321    0.017853
       3.075    0.198626   0.0142575
       3.225    0.112781   0.0120978
       3.375    0.123083   0.0142269
       3.525    0.083577   0.0116238
       3.675   0.0688109    0.007172
       3.825   0.0482164  0.00586213
       3.975   0.0245809  0.00484144
       4.125   0.0184178  0.00566929
       4.275  0.00807992  0.00285696
       4.425  0.00514295  0.00211838
       4.575   0.0025796   0.0013755
       4.725  0.00121507 0.000901676
       4.875 0.000688759 0.000527663
       5.025 0.000298895 0.000201234
       5.175 0.000233918 0.000181447
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075   0.0018179 0.000950231
